sentence;array_id
in un luogo lontano;7034, 8474, 9819,  30385
Maria era spaventata;7301, 5581, 11951
Maria e Giuseppe andarono a dormire in una stalla;7301, 11399, 7238, 8142, 7041,  6479, 7034, 8474, 26840
I pastori erano spaventati;8477, 7788, 5581, 11951
Quella notte una stella cometa attraversÃ² il cielo;6906, 7181, 8474, 3100, 8274, 8476, 6978
molto tempo fa;5521, 22631, 7022
ma l'angelo le disse di non avere paura;11377, 8476, 3056, 7031, 9693, 7074, 5526,  10261
che avrebbe partorito un bambino;11351, 6484,7034, 28215
Molte persone andavano a Betlemme;7168, 7116, 8142,  7041 ,3100
Maria era molto stanca;7301, 11399, 25708, 6959
Maria e Giuseppe cercavano una casa per dormire;7301, 11399, 7238, 6947, 8474,  6964, 7194,  6479
ma tutti li mandavano via;11377, 27091, 7033, 8998
Durante la notte  Maria partorÃ¬ GesÃ¹;24737, 8476, 7181, 7301,  6484,  7177
Un angelo annunciÃ² ai pastori che era nato GesÃ¹;8474 ,3056, 29957, 7041, 7788, 11351, 28216, 7177
ma gli angeli dissero loro di non avere paura;11377, 8477, 8474, 9693, 7033, 7074,  7074, 5526,  10261
I pastori partirono per vedere GesÃ¹ e portargli doni;8477, 7788, 36473, 7194, 6564, 7177, 11399, 6553, 25381
porta acqua e cibo a tuo fratello;7280,2248,3026,4610,3021,12281,2423
il libro del cane;8476,25191,11712,7202
il cane aiuta la polizia;25191,7202,4570,8476,2824
il cane passeggia con il collare;25191,7202,29951,7064,25191,6987
il bebÃ¨ dorme;25191,2275,6479
la mamma fa il bagno al bebÃ¨;8476,2458,2271,11709,2275
la bambina beve;8476,2484,2276
il bambino gioca;25191,2485,2439
i bambini leggono una storia;8477,7178,2447,8474,6471
i bambini imparano nella scuola;8477,7178,8029,7034,8476,3082
non Ã¨ facile;5526,5581,4645
devi saperlo controllare;15523,16885,6564
i suoi occhi;8477,12276,6573
sono brillanti e luminosi;5581,6475,11399,26753
l'amore Ã¨ stare attaccata ai giovanotti;25191,8020,5581,5858,5367,7041,28287
dico che Ã¨ difficile;9693,11351,5581,4629
saluto il vecchio amore;6522,25191,4770,8020
adesso sto bene;13026,5858,5397
la mia ragazza;8476,12264,2484
io amo il mio gatto;6632,11517,25191,12264,2406
la bambina beve;8476,2484,2804
i bambini leggono una storia;8477,7178,2719
il mio gatto ha mangiato;8476,12264,2406,7271,28641
